Language,Language (local),Wiki,Articles,Total,Edits,Admins,Users,Active users,Images,Depth
English,English,en,"5,892,831","48,163,458","901,799,747","1,142","36,733,009","120,613","881,780",963.43
Cebuano,Cebuano,ceb,"5,379,094","9,337,750","27,676,134",6,"59,349",173,0,1.61
Swedish,svenska,sv,"3,748,139","7,725,644","45,990,424",62,"680,471","2,210",0,6.7
German,Deutsch,de,"2,323,203","6,498,181","189,160,780",188,"3,233,897","19,394","130,232",94.01
French,français,fr,"2,124,161","10,249,282","160,480,190",161,"3,498,563","16,843","58,695",229.09
Dutch,Nederlands,nl,"1,972,406","4,103,129","54,037,341",43,"1,008,050","3,869",22,15.37
Russian,русский,ru,"1,557,003","5,941,187","100,765,976",88,"2,559,706","10,735","219,318",134.47
Italian,italiano,it,"1,541,498","6,294,474","106,286,758",111,"1,845,914","8,124","139,814",160.53
Spanish,español,es,"1,532,965","6,723,316","116,994,977",73,"5,488,249","16,119",0,199.49
Polish,polski,pl,"1,346,612","3,062,399","56,873,064",102,"969,979","4,086",266,30.15
Waray,Winaray,war,"1,263,648","2,877,458","6,201,612",3,"41,032",77,42,3.52
Vietnamese,Tiếng Việt,vi,"1,224,324","14,914,442","54,485,033",21,"681,170","1,864","31,636",456.76
Japanese,日本語,ja,"1,160,105","3,436,206","73,290,819",40,"1,503,694","13,707","85,568",82.1
Chinese,中文,zh,"1,066,775","5,841,165","54,934,255",81,"2,769,630","8,245","51,808",188.38
Portuguese,português,pt,"1,010,408","4,861,516","55,564,001",77,"2,275,046","5,998","52,933",166.03
Ukrainian,українська,uk,"921,427","2,795,433","25,620,532",45,"462,842","2,761","100,874",37.91
Arabic,العربية,ar,"903,966","5,386,959","36,817,190",26,"1,686,251","4,009","32,490",168.09
Persian,فارسی,fa,"683,866","4,379,256","26,545,828",30,"839,032","5,102","57,698",177
Serbian,српски / srpski,sr,"622,006","3,796,615","21,992,799",14,"246,919",819,"31,558",150.9
Catalan,català,ca,"617,473","1,520,320","21,435,003",21,"328,300","1,230","11,446",30.14
Norwegian (Bokmål),norsk,no,"512,840","1,394,048","19,556,833",43,"466,853","1,139",4,41.42
Indonesian,Bahasa Indonesia,id,"484,844","2,567,197","15,331,967",36,"1,072,086","2,590","60,015",110.16
Finnish,suomi,fi,"462,565","1,245,189","18,231,187",36,"422,801","1,683","56,949",41.91
Korean,한국어,ko,"462,371","2,128,952","24,509,051",24,"574,061","2,171","14,733",149.57
Hungarian,magyar,hu,"454,268","1,312,189","21,465,493",31,"418,821","1,622","14,911",58.35
